date,	opponent,	result,	nz_points,	opponent_points
Sat 14th Jun 2003  7:00pm,	England,	loss,	13,	15
Sat 23rd Nov 2002  2:30pm,	Wales,	win,	43,	17
Sat 16th Nov 2002  8:45pm,	France,	loss,	20,	20
Sat 9th Nov 2002  2:30pm,	England,	loss,	28,	31
Sat 10th Aug 2002  3:00pm,	South Africa,	win,	30,	23
Sat 3rd Aug 2002  8:00pm,	Australia,	loss,	14,	16
Sat 20th Jul 2002  7:35pm,	South Africa,	win,	41,	20
Sat 13th Jul 2002  7:35pm,	Australia,	win,	12,	6
Sat 29th Jun 2002  7:00pm,	Fiji,	win,	68,	18
Sat 22nd Jun 2002  7:05pm,	Ireland,	win,	40,	8
Sat 15th Jun 2002  7:05pm,	Ireland,	win,	15,	6
Sat 8th Jun 2002  7:35pm,	Italy,	win,	64,	10
Sat 1st Dec 2001  8:30pm,	Argentina,	win,	24,	20
Sat 24th Nov 2001  4:00pm,	Scotland,	win,	37,	6
Tue 20th Nov 2001  12:00am,	Scotland A	win,	35,	13
Sat 17th Nov 2001  2:00pm,	Ireland,	win,	40,	29
Tue 13th Nov 2001  12:00am,	Ireland A	win,	43,	30
Sat 1st Sep 2001  8:00pm,	Australia,	loss,	26,	29
Sat 25th Aug 2001  7:35pm,	South Africa,	win,	26,	15
Sat 11th Aug 2001  7:35pm,	Australia,	loss,	15,	23
Sat 21st Jul 2001  3:00pm,	South Africa,	win,	12,	3
Sat 30th Jun 2001  7:35pm,	France,	win,	37,	12
Sat 23rd Jun 2001  7:35pm,	Argentina,	win,	67,	19
Sat 16th Jun 2001  7:35pm,	Samoa,	win,	50,	6
Sat 25th Nov 2000  12:00am,	Italy,	win,	56,	19
Sat 18th Nov 2000  7:45pm,	France,	loss,	33,	42
Sat 11th Nov 2000  7:45pm,	France,	win,	39,	26
Sat 19th Aug 2000  3:00pm,	South Africa,	loss,	40,	46
Sat 5th Aug 2000  7:35pm,	Australia,	loss,	23,	24
Sat 22nd Jul 2000  7:35pm,	South Africa,	win,	25,	12
Sat 15th Jul 2000  8:00pm,	Australia,	win,	39,	35
Sat 1st Jul 2000  7:35pm,	Scotland,	win,	48,	14
Sat 24th Jun 2000  7:35pm,	Scotland,	win,	69,	20
Fri 16th Jun 2000  7:35pm,	Tonga,	win,	102,	0
